seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
21,12,12,1.0,4931.31910468643,410.9432587238692,0.031000000000858563,0.031000000000858563,165,12,0,149,177,179,7,user_exit,,1 3 9 13 14 15 17 18,179,0.031000000000858563
22,15,15,1.0,5484.374108044732,365.6249405363154,0.04700000000048021,0.04700000000048021,170,15,0,152,185,187,7,user_exit,,4 10 12 14 20,187,0.04700000000048021
23,10,10,1.0,4782.8879724478975,478.28879724478975,0.030999999999039574,0.030999999999039574,165,10,0,149,175,177,7,user_exit,,1 5 7 11 12 15 16 18 19 20,177,0.030999999999039574
24,12,12,1.0,5292.145321826075,441.0121101521729,0.031000000000858563,0.031000000000858563,159,12,0,149,171,173,7,user_exit,,1 4 6 9 14 16 18 20,173,0.031000000000858563
25,13,13,1.0,4661.192949880853,358.5533038369887,0.0319999999992433,0.0319999999992433,157,13,0,149,170,172,7,user_exit,,7 9 10 14 17 18 19,172,0.0319999999992433
26,16,16,1.0,5368.384847457155,335.5240529660722,0.031000000000858563,0.031000000000858563,164,16,0,152,180,182,7,user_exit,,5 6 14 15,182,0.031000000000858563
27,10,10,1.0,4922.699346863421,492.2699346863421,0.0319999999992433,0.0319999999992433,164,10,0,147,174,176,7,user_exit,,1 7 9 11 12 13 15 16 17 20,176,0.0319999999992433
28,14,14,1.0,5782.390184267094,413.02787030479243,0.031000000000858563,0.031000000000858563,180,14,0,153,194,196,7,user_exit,,4 5 12 13 16 18,196,0.031000000000858563
29,16,16,1.0,5567.02446128943,347.9390288305894,0.04700000000048021,0.04700000000048021,171,16,0,152,187,189,7,user_exit,,6 9 11 19,189,0.04700000000048021
30,10,10,1.0,4515.403694333778,451.5403694333778,0.030999999999039574,0.030999999999039574,161,10,0,147,171,173,7,user_exit,,1 7 8 9 12 13 16 18 19 20,173,0.030999999999039574
31,13,13,1.0,5159.388351963034,396.87602707407956,0.04700000000048021,0.04700000000048021,166,13,4,149,183,185,7,user_exit,,3 10 13 15 16 17 19,185,0.04700000000048021
32,16,16,1.0,6477.707066933696,404.856691683356,0.030999999999039574,0.030999999999039574,183,16,0,153,199,201,7,user_exit,,2 7 10 20,201,0.030999999999039574
33,16,16,1.0,5644.78327597198,352.7989547482488,0.030999999999039574,0.030999999999039574,172,16,0,154,188,190,7,user_exit,,1 2 5 17,190,0.030999999999039574
34,10,10,1.0,4592.697978949139,459.2697978949139,0.031000000000858563,0.031000000000858563,160,10,0,148,170,172,7,user_exit,,3 5 7 8 9 11 13 15 19 20,172,0.031000000000858563
35,10,10,1.0,4499.839060656113,449.98390606561134,0.0319999999992433,0.0319999999992433,156,10,0,145,166,168,7,user_exit,,3 5 7 8 9 12 13 18 19 20,168,0.0319999999992433
36,12,12,1.0,4834.249586319455,402.85413219328797,0.031000000000858563,0.031000000000858563,167,12,0,150,179,181,7,user_exit,,1 3 4 8 13 16 19 20,181,0.031000000000858563
37,11,11,1.0,4717.12015982624,428.8291054387491,0.030999999999039574,0.030999999999039574,169,11,0,148,180,182,7,user_exit,,2 3 9 11 13 15 17 18 20,182,0.030999999999039574
38,11,11,1.0,4450.85475693605,404.6231597214591,0.031000000000858563,0.031000000000858563,155,11,0,148,166,168,7,user_exit,,7 9 10 12 13 14 15 18 20,168,0.031000000000858563
39,16,16,1.0,6123.761837181592,382.7351148238495,0.0319999999992433,0.0319999999992433,164,16,0,149,180,182,7,user_exit,,1 14 19 20,182,0.0319999999992433
40,13,13,1.0,4661.499467151928,358.57688208860986,0.031000000000858563,0.031000000000858563,162,13,0,146,175,177,7,user_exit,,3 4 9 11 15 18 20,177,0.031000000000858563
41,14,14,1.0,5314.545127452839,379.6103662466313,0.0319999999992433,0.0319999999992433,165,14,0,149,179,181,7,user_exit,,1 12 14 15 16 20,181,0.0319999999992433
42,10,10,1.0,4666.770139981192,466.6770139981192,0.031000000000858563,0.031000000000858563,156,10,0,147,166,168,7,user_exit,,1 3 5 10 14 15 16 17 18 20,168,0.031000000000858563
43,13,13,1.0,4670.278877047048,359.25222131131136,0.030999999999039574,0.030999999999039574,161,13,0,149,174,176,7,user_exit,,2 3 8 9 11 18 20,176,0.030999999999039574
44,14,14,1.0,5350.469754530323,382.17641103788026,0.031000000000858563,0.031000000000858563,167,14,0,151,181,183,7,user_exit,,6 9 11 12 14 19,183,0.031000000000858563
45,16,16,1.0,5835.1284752323145,364.69552970201966,0.04700000000048021,0.04700000000048021,176,16,4,154,196,198,7,user_exit,,1 2 11 17,198,0.04700000000048021
46,13,13,1.0,4523.620511342165,347.9708085647819,0.0319999999992433,0.0319999999992433,154,13,0,147,167,169,7,user_exit,,5 6 10 11 12 16 17,169,0.0319999999992433
47,10,10,1.0,4843.896849926195,484.38968499261944,0.014999999999417923,0.014999999999417923,158,10,0,145,168,170,7,user_exit,,1 3 4 5 6 11 12 13 16 20,170,0.014999999999417923
48,10,10,1.0,4603.354477466099,460.3354477466099,0.031000000000858563,0.031000000000858563,152,10,0,147,162,164,7,user_exit,,2 3 4 7 9 11 14 16 19 20,164,0.031000000000858563
49,10,10,1.0,4754.272875254214,475.42728752542143,0.0319999999992433,0.0319999999992433,159,10,0,148,169,171,7,user_exit,,2 3 5 7 10 14 15 16 19 20,171,0.0319999999992433
50,15,15,1.0,5357.315427162889,357.15436181085926,0.031000000000858563,0.031000000000858563,164,15,0,150,179,181,7,user_exit,,1 9 13 14 18,181,0.031000000000858563
51,12,12,1.0,5209.722439143473,434.1435365952894,0.031000000000858563,0.031000000000858563,168,12,4,150,184,186,7,user_exit,,1 2 3 6 7 11 12 20,186,0.031000000000858563
52,16,16,1.0,5250.194507198902,328.1371566999314,0.030999999999039574,0.030999999999039574,173,16,0,153,189,191,7,user_exit,,3 11 17 20,191,0.030999999999039574
53,15,15,1.0,5429.902562841071,361.99350418940475,0.04700000000048021,0.04700000000048021,173,15,0,153,188,190,7,user_exit,,3 7 9 10 20,190,0.04700000000048021
54,12,12,1.0,4507.061312332337,375.58844269436145,0.030999999999039574,0.030999999999039574,157,12,0,144,169,171,7,user_exit,,1 5 8 10 11 14 15 16,171,0.030999999999039574
55,16,16,1.0,4860.874318878548,303.8046449299093,0.031000000000858563,0.031000000000858563,161,16,0,152,177,179,7,user_exit,,1 4 10 11,179,0.031000000000858563
56,12,12,1.0,5127.284451301346,427.27370427511215,0.0319999999992433,0.0319999999992433,173,12,0,149,185,187,7,user_exit,,2 3 8 14 15 17 18 19,187,0.0319999999992433
57,10,10,1.0,5086.904362598387,508.6904362598387,0.031000000000858563,0.031000000000858563,154,10,0,147,164,166,7,user_exit,,1 2 3 4 9 11 12 14 17 18,166,0.031000000000858563
58,13,13,1.0,4513.2426176748795,347.17250905191383,0.030999999999039574,0.030999999999039574,162,13,0,149,175,177,7,user_exit,,1 2 4 5 8 15 20,177,0.030999999999039574
59,15,15,1.0,5324.199555763687,354.9466370509125,0.031000000000858563,0.031000000000858563,165,15,0,151,180,182,7,user_exit,,8 10 12 14 15,182,0.031000000000858563
60,11,11,1.0,4545.578977815392,413.234452528672,0.0319999999992433,0.0319999999992433,160,11,0,147,171,173,7,user_exit,,2 3 6 7 8 9 10 11 20,173,0.0319999999992433
