variant,seed,n_sources,n_cleared,clear_ratio,certified,virtual_time_s,avg_locate_clear_time_s,n_actions,error,wall_s
A2-no-mec,16,13,13,1.0,1,6658.535467794374,512.1950359841826,242,,0.04700000000048021
A2-no-mec,17,15,15,1.0,1,5839.478726131534,389.2985817421023,238,,0.046000000000276486
A2-no-mec,18,16,16,1.0,1,6860.899894935578,428.80624343347364,233,,0.04700000000048021
A2-no-mec,19,14,14,1.0,1,6045.295801979351,431.8068429985251,219,,0.046999999998661224
A2-no-mec,20,16,16,1.0,1,4982.43100136982,311.4019375856137,201,,0.031000000000858563
A2-no-mec,21,12,12,1.0,1,4416.795029533415,368.0662524611179,200,,0.04700000000048021
A2-no-mec,22,15,15,1.0,1,6238.935822974734,415.9290548649823,222,,0.0319999999992433
A2-no-mec,23,10,10,1.0,1,4891.432476728774,489.14324767287746,198,,0.046000000000276486
A2-no-mec,24,12,12,1.0,1,5281.116975521349,440.0930812934457,209,,0.0319999999992433
A2-no-mec,25,13,13,1.0,1,5510.420281476118,423.87848319047066,212,,0.031000000000858563
A2-no-mec,26,16,16,1.0,1,6333.667391083814,395.8542119427384,230,,0.04700000000048021
A2-no-mec,27,10,10,1.0,1,4744.4102571410585,474.4410257141059,208,,0.030999999999039574
A2-no-mec,28,14,14,1.0,1,6005.521881816312,428.96584870116516,242,,0.04700000000048021
A2-no-mec,29,16,16,1.0,1,6435.198353347228,402.1998970842017,232,,0.046000000000276486
A2-no-mec,30,10,10,1.0,1,5257.8539988409375,525.7853998840937,197,,0.04700000000048021
A3-no-certify,1,13,13,1.0,1,4677.6224661082115,359.8171127775547,163,,0.046999999998661224
A3-no-certify,2,15,15,1.0,1,4632.703373459522,308.8468915639681,166,,0.06300000000010186
A3-no-certify,3,15,15,1.0,1,4697.211994439334,313.1474662959556,173,,0.06199999999989814
A3-no-certify,4,15,15,1.0,1,4484.14726911141,298.943151274094,170,,0.06300000000010186
A3-no-certify,5,14,14,1.0,1,4830.501371975044,345.0358122839317,172,,0.04700000000048021
A3-no-certify,6,13,13,1.0,1,4348.221820864435,334.47860160495657,175,,0.06199999999989814
A3-no-certify,7,16,16,1.0,1,5264.415501840157,329.0259688650098,179,,0.04700000000048021
A3-no-certify,8,15,15,1.0,1,4378.624446495175,291.9082964330117,171,,0.06199999999989814
A3-no-certify,9,12,12,1.0,1,4399.3629619871745,366.61358016559785,165,,0.04700000000048021
A3-no-certify,10,15,15,1.0,1,4832.029098926053,322.13527326173687,178,,0.0319999999992433
A3-no-certify,11,10,10,1.0,1,3845.4044466055116,384.54044466055115,159,,0.046000000000276486
A3-no-certify,12,14,14,1.0,1,4914.088047342083,351.00628909586305,176,,0.04700000000048021
A3-no-certify,13,16,16,1.0,1,5480.724724384148,342.5452952740093,187,,0.04700000000048021
A3-no-certify,14,11,11,1.0,1,4371.680419243319,397.42549265848356,162,,0.0319999999992433
A3-no-certify,15,16,16,1.0,1,5049.636744529708,315.60229653310677,174,,0.04700000000048021
A3-no-certify,16,13,13,1.0,1,4713.83456910235,362.6026591617192,181,,0.031000000000858563
A3-no-certify,17,15,15,1.0,1,4435.0541073732575,295.67027382488385,175,,0.046999999998661224
A3-no-certify,18,16,16,1.0,1,4979.564349016981,311.22277181356134,173,,0.06199999999989814
A3-no-certify,19,14,14,1.0,1,4412.099232935891,315.1499452097065,174,,0.04700000000048021
A3-no-certify,20,16,16,1.0,1,4467.694983223691,279.2309364514807,167,,0.031000000000858563
A3-no-certify,21,12,12,1.0,1,4317.157603939641,359.7631336616368,171,,0.0319999999992433
A3-no-certify,22,15,15,1.0,1,5089.332334686446,339.2888223124298,174,,0.06199999999989814
A3-no-certify,23,10,10,1.0,1,4104.031488981056,410.4031488981056,162,,0.031000000000858563
A3-no-certify,24,12,12,1.0,1,4833.816555104832,402.81804625873605,164,,0.0319999999992433
A3-no-certify,25,13,13,1.0,1,4392.250516996227,337.86542438432514,170,,0.031000000000858563
A3-no-certify,26,16,16,1.0,1,5080.534600805711,317.53341255035696,183,,0.046999999998661224
A3-no-certify,27,10,10,1.0,1,4187.030488884093,418.7030488884093,170,,0.031000000000858563
A3-no-certify,28,14,14,1.0,1,5096.291646848714,364.0208319177653,176,,0.04700000000048021
A3-no-certify,29,16,16,1.0,1,4998.990609267797,312.4369130792373,177,,0.030999999999039574
A3-no-certify,30,10,10,1.0,1,3801.422071105155,380.14220711051547,157,,0.031000000000858563
A5-no-probe,1,13,13,1.0,1,4668.458416981717,359.1121859216706,162,,0.0319999999992433
A5-no-probe,2,15,15,1.0,1,4632.703373459522,308.8468915639681,166,,0.06199999999989814
A5-no-probe,3,15,15,1.0,1,4697.211994439334,313.1474662959556,173,,0.031000000000858563
A5-no-probe,4,15,15,1.0,1,4484.14726911141,298.943151274094,170,,0.046999999998661224
A5-no-probe,5,14,14,1.0,1,4835.515820033878,345.39398714527704,194,,0.031000000000858563
A5-no-probe,6,13,13,1.0,1,4348.221820864435,334.47860160495657,175,,0.0319999999992433
A5-no-probe,7,16,16,1.0,1,5341.506765081323,333.84417281758266,200,,0.04700000000048021
A5-no-probe,8,15,15,1.0,1,4378.624446495175,291.9082964330117,171,,0.031000000000858563
A5-no-probe,9,12,12,1.0,1,4399.3629619871745,366.61358016559785,165,,0.030999999999039574
A5-no-probe,10,15,15,1.0,1,4753.209927655125,316.880661843675,178,,0.04700000000048021
A5-no-probe,11,10,10,1.0,1,3845.4044466055116,384.54044466055115,159,,0.030999999999039574
