seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
35,10,10,1.0,3793.5256632627115,379.35256632627113,0.09400000000005093,0.09400000000005093,144,10,0,143,154,156,7,user_exit,,3 5 7 8 9 12 13 18 19 20,156,0.09400000000005093
36,12,12,1.0,4111.774370131872,342.647864177656,0.0929999999998472,0.0929999999998472,151,12,0,148,163,165,7,user_exit,,1 3 4 8 13 16 19 20,165,0.0929999999998472
37,11,11,1.0,4149.531904592611,377.2301731447828,0.125,0.125,153,11,0,146,164,166,7,user_exit,,2 3 9 11 13 15 17 18 20,166,0.125
38,11,11,1.0,3777.577996845099,343.4161815313726,0.07799999999997453,0.07799999999997453,143,11,0,142,154,156,7,user_exit,,7 9 10 12 13 14 15 18 20,156,0.07799999999997453
39,16,16,1.0,5347.954207151615,334.24713794697595,0.1089999999999236,0.1089999999999236,154,16,0,146,170,172,7,user_exit,,1 14 19 20,172,0.1089999999999236
40,13,13,1.0,3800.5683059279713,292.3514081483055,0.1089999999999236,0.1089999999999236,149,13,0,146,162,164,7,user_exit,,3 4 9 11 15 18 20,164,0.1089999999999236
41,14,14,1.0,4623.580833854696,330.255773846764,0.1089999999999236,0.1089999999999236,149,14,0,143,163,165,7,user_exit,,1 12 14 15 16 20,165,0.1089999999999236
42,10,10,1.0,4242.231356004338,424.22313560043375,0.07799999999997453,0.07799999999997453,148,10,0,145,158,160,7,user_exit,,1 3 5 10 14 15 16 17 18 20,160,0.07799999999997453
43,13,13,1.0,4092.407874376936,314.80060572130276,0.09400000000005093,0.09400000000005093,147,13,0,143,160,162,7,user_exit,,2 3 8 9 11 18 20,162,0.09400000000005093
44,14,14,1.0,4426.600337808285,316.1857384148775,0.13999999999987267,0.13999999999987267,156,14,0,148,170,172,7,user_exit,,6 9 11 12 14 19,172,0.13999999999987267
45,16,16,1.0,4682.732258614107,292.6707661633817,0.1410000000000764,0.1410000000000764,155,16,0,149,171,173,7,user_exit,,1 2 11 17,173,0.1410000000000764
46,13,13,1.0,3860.5646561780454,296.9665120136958,0.09400000000005093,0.09400000000005093,144,13,0,143,157,159,7,user_exit,,5 6 10 11 12 16 17,159,0.09400000000005093
47,10,10,1.0,4529.786096048219,452.97860960482194,0.11000000000012733,0.11000000000012733,150,10,0,145,160,162,7,user_exit,,1 3 4 5 6 11 12 13 16 20,162,0.11000000000012733
48,10,10,1.0,4052.1651544384313,405.21651544384315,0.0929999999998472,0.0929999999998472,146,10,0,144,156,158,7,user_exit,,2 3 4 7 9 11 14 16 19 20,158,0.0929999999998472
49,10,10,1.0,4369.918342409288,436.9918342409288,0.1089999999999236,0.1089999999999236,151,10,4,145,165,167,7,user_exit,,2 3 5 7 10 14 15 16 19 20,167,0.1089999999999236
50,15,15,1.0,4827.638161972034,321.84254413146897,0.1089999999999236,0.1089999999999236,158,15,0,147,173,175,7,user_exit,,1 9 13 14 18,175,0.1089999999999236
51,12,12,1.0,4572.038588884807,381.00321574040055,0.125,0.125,155,12,0,145,167,169,7,user_exit,,1 2 3 6 7 11 12 20,169,0.125
52,16,16,1.0,4210.121178889742,263.13257368060886,0.125,0.125,149,16,0,146,165,167,7,user_exit,,3 11 17 20,167,0.125
53,15,15,1.0,5199.038850378951,346.6025900252634,0.1410000000000764,0.1410000000000764,161,15,0,147,176,178,7,user_exit,,3 7 9 10 20,178,0.1410000000000764
54,12,12,1.0,4021.71677029047,335.1430641908725,0.125,0.125,151,12,0,143,163,165,7,user_exit,,1 5 8 10 11 14 15 16,165,0.125
55,16,16,1.0,4394.3040883071435,274.64400551919647,0.1089999999999236,0.1089999999999236,151,16,0,145,167,169,7,user_exit,,1 4 10 11,169,0.1089999999999236
56,12,12,1.0,4514.43040725835,376.2025339381958,0.125,0.125,158,12,4,147,174,176,7,user_exit,,2 3 8 14 15 17 18 19,176,0.125
57,10,10,1.0,4562.923293481967,456.29232934819674,0.06300000000010186,0.06300000000010186,145,10,0,143,155,157,7,user_exit,,1 2 3 4 9 11 12 14 17 18,157,0.07799999999997453
58,13,13,1.0,4198.291526192784,322.9455020148295,0.1089999999999236,0.1089999999999236,157,13,0,148,170,172,7,user_exit,,1 2 4 5 8 15 20,172,0.1089999999999236
59,15,15,1.0,4383.412680849601,292.2275120566401,0.0929999999998472,0.0929999999998472,146,15,0,144,161,163,7,user_exit,,8 10 12 14 15,163,0.0929999999998472
60,11,11,1.0,4014.647743901666,364.9679767183333,0.11000000000012733,0.11000000000012733,152,11,0,145,163,165,7,user_exit,,2 3 6 7 8 9 10 11 20,165,0.11000000000012733
