seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
104,14,14,1.0,4379.264158199532,312.80458272853804,0.046999999998661224,0.046999999998661224,153,14,0,146,167,169,7,user_exit,,1 4 5 9 17 20,169,0.046999999998661224
105,11,11,1.0,4366.282592867859,396.9347811698054,0.04700000000048021,0.04700000000048021,155,11,0,146,166,168,7,user_exit,,1 3 4 13 14 16 18 19 20,168,0.04700000000048021
106,13,13,1.0,5364.613849898312,412.6626038383317,0.04700000000048021,0.04700000000048021,160,13,0,147,173,175,7,user_exit,,6 9 10 12 13 14 17,175,0.04700000000048021
107,10,10,1.0,4170.669721433183,417.06697214331837,0.06199999999989814,0.06199999999989814,155,10,0,145,165,167,7,user_exit,,1 2 3 4 6 14 16 17 18 20,167,0.06199999999989814
108,10,10,1.0,4076.421572555537,407.6421572555537,0.04700000000048021,0.04700000000048021,151,10,0,145,161,163,7,user_exit,,4 7 8 11 13 14 15 18 19 20,163,0.04700000000048021
109,13,13,1.0,4745.293815241123,365.0226011723941,0.06300000000010186,0.06300000000010186,165,13,0,147,178,180,7,user_exit,,2 6 7 8 12 15 19,180,0.06300000000010186
110,14,14,1.0,4951.047974619409,353.6462839013863,0.046999999998661224,0.046999999998661224,160,14,0,148,174,176,7,user_exit,,10 12 14 17 19 20,176,0.046999999998661224
111,13,13,1.0,4643.142832456915,357.16483326591657,0.046999999998661224,0.046999999998661224,151,13,0,145,164,166,7,user_exit,,1 4 6 9 11 15 19,166,0.046999999998661224
112,11,11,1.0,4684.437736661172,425.8579760601065,0.04700000000048021,0.04700000000048021,157,11,0,146,168,170,7,user_exit,,3 4 5 6 7 8 14 16 20,170,0.04700000000048021
113,12,12,1.0,4445.6241238464,370.4686769872,0.04700000000048021,0.04700000000048021,149,12,0,146,161,163,7,user_exit,,3 4 5 7 9 11 12 14,163,0.04700000000048021
